material_id,formula,band_gap,density,energy_per_atom,formation_energy_per_atom,volume
mp-776593,LuScO3,4.606299999999999,7.321153565980165,-9.122406674,-3.982798759333333,243.07288147061357
mp-768293,LuSeO3,1.7049999999999992,6.614209923441077,-7.1159742635,-2.543677874302084,606.401787175432
mp-754597,LuTlO3,1.0776,10.18540535193216,-6.875757564500001,-2.528349047500002,278.6845902675024
mp-2767717,LuVO3,0.261099999999999,8.4541479423787,-17.378715599,-3.361304225583333,215.19981862324127
mp-755583,LuVO3,1.572499999999999,8.077266464533315,-9.013287189500002,-3.323391881833334,225.24094157379776
mp-757674,Mg17(SiO3)16,0.317099999999999,2.941698684820758,-7.461849213333334,-3.115859003765433,920.4032850501428
mp-1206514,Mg3AsN,2.281799999999999,3.611166352278549,-8.16520575,-0.896367267250001,74.42114156493827
mp-2647001,Mg3BiSb,0.1607,4.83337560715199,-2.878640086,-0.296550967,138.67855834589432
mp-1080847,Mg3SbN,1.623399999999999,4.223462046461523,-4.177674120000001,-0.705936314,82.0474083873499
mp-1210955,Mg6Te5O16,3.0835,4.519801002973039,-6.125998725555555,-2.249453331604938,1528.0870952609396
mp-1210834,Mg7(SiO3)8,0.2206,2.802002657640453,-7.544474454102565,-3.094041160128205,461.53969912248783
mp-729062,Mg7(SiO3)8,0.2745,2.8194056164751373,-7.545715371666666,-3.095282077692307,1834.763264981515
mp-33705,Mg9V10O24,0.920099999999999,3.87514435050141,-7.909219496976743,-2.693769381744186,476.5657868482606
mp-998358,MgAgF3,2.375099999999999,4.951780314335952,-4.79154036,-2.748547396333332,63.436080433127024
mp-998418,MgAgF3,2.1901,5.280776296610234,-4.806576408,-2.763583444333332,118.96793829688532
mp-1199652,MgBO3,0.188799999999999,2.642311523145424,-7.16188117775,-2.531132217583333,417.8595139301743
mp-2647164,MgCO3,4.8023,3.073357706338463,-7.268449153166667,-2.127382018166668,546.6588860031457
mp-5348,MgCO3,4.9603,3.025300863741853,-7.58309781,-2.442030674999999,92.55709187868769
mp-546079,MgCO3,5.4366,3.084978947238792,-7.205036176999999,-2.063969041999999,90.76659996550488
mp-755711,MgCoO3,0.164399999999999,4.352905594863571,-6.510295363500001,-1.7887414135,200.25535230021825
mp-1346485,MgCrO3,0.229299999999999,4.264870753147212,-7.61111737,-2.385637270000001,193.5850866746384
mp-2225290,MgCrO3,0.9534,2.72395947342236,-7.559965722000001,-2.334485622000001,75.77346345087477
mp-1279364,MgFeO3,0.2,4.083771894673067,-6.998651236500001,-2.0097763885,208.42994947102036
mp-1303831,MgFeO3,0.229499999999999,4.100057629308676,-6.998474354000001,-2.009599506,207.60205016957303
mp-752416,MgFeO3,0.1129,3.787819249982385,-6.936062445499999,-1.947187597499998,224.71514966344785
mp-1016827,MgGeO3,1.5499,4.682288444475782,-6.26025941,-2.040783233,51.40303697478925
mp-3047,MgGeO3,2.4744,5.2779370042791545,-6.6438068285,-2.4243306515,91.20375853022864
mp-3759,MgGeO3,3.633899999999999,4.764605969186327,-6.753412116999999,-2.533935939999999,101.02990576537422
mp-4575,MgGeO3,3.048999999999999,4.297680803345858,-6.77236448675,-2.55288830975,896.0510826234963
mp-4819,MgGeO3,2.5261,4.426262699821197,-6.77348626,-2.554010083,217.50525204727657
mp-29483,MgInBr3,2.2355,4.30963786597113,-3.334993822499998,-1.474897149833331,583.8730184385521
mp-770581,MgMnO3,0.6265000000000001,4.419545803881976,-7.416279121,-2.289005456586206,191.23146819271156
